Name,Email,Financial Status,Paid at,Currency,Total,Refunded Amount,Referring Site
#1062,x@y.com,paid,2026-06-02 04:14:00 +0000,USD,143.31,,https://l.facebook.com/
#1063,x@y.com,paid,2026-06-02 10:45:00 +0000,USD,164.76,,
#1063,x@y.com,paid,2026-06-02 10:45:00 +0000,USD,164.76,,
#1064,x@y.com,paid,2026-06-02 08:28:00 +0000,USD,153.14,,
#1065,x@y.com,paid,2026-06-02 23:57:00 +0000,USD,138.49,,
#1066,x@y.com,paid,2026-06-02 21:25:00 +0000,USD,89.13,,https://l.facebook.com/
#1066,x@y.com,paid,2026-06-02 21:25:00 +0000,USD,89.13,,https://l.facebook.com/
#1067,x@y.com,paid,2026-06-02 12:34:00 +0000,USD,183.09,,https://instagram.com/
#1068,x@y.com,paid,2026-06-02 14:56:00 +0000,USD,188.4,,https://l.facebook.com/
#1069,x@y.com,paid,2026-06-02 05:36:00 +0000,USD,185.16,,https://l.facebook.com/
#1070,x@y.com,paid,2026-06-02 02:37:00 +0000,USD,205.57,,
#1071,x@y.com,paid,2026-06-02 23:06:00 +0000,USD,182.02,,https://l.facebook.com/
#1072,x@y.com,paid,2026-06-02 23:52:00 +0000,USD,89.18,,https://l.facebook.com/
#1072,x@y.com,paid,2026-06-02 23:52:00 +0000,USD,89.18,,https://l.facebook.com/
#1073,x@y.com,paid,2026-06-02 16:21:00 +0000,USD,110.4,,
#1073,x@y.com,paid,2026-06-02 16:21:00 +0000,USD,110.4,,
#1074,x@y.com,paid,2026-06-02 21:08:00 +0000,USD,130.06,,
#1074,x@y.com,paid,2026-06-02 21:08:00 +0000,USD,130.06,,
#1075,x@y.com,paid,2026-06-02 19:58:00 +0000,USD,142.42,,https://l.facebook.com/
#1076,x@y.com,paid,2026-06-02 00:51:00 +0000,USD,132.2,,https://www.google.com/
#1076,x@y.com,paid,2026-06-02 00:51:00 +0000,USD,132.2,,https://www.google.com/
#1077,x@y.com,paid,2026-06-02 20:01:00 +0000,USD,188.07,,
#1078,x@y.com,paid,2026-06-02 13:58:00 +0000,USD,171.73,,https://instagram.com/
#1079,x@y.com,paid,2026-06-02 21:10:00 +0000,USD,110.44,,https://www.google.com/
#1080,x@y.com,paid,2026-06-02 01:30:00 +0000,USD,104.98,,https://l.facebook.com/
#1081,x@y.com,paid,2026-06-02 05:58:00 +0000,USD,174.46,,https://l.facebook.com/
#1082,x@y.com,refunded,2026-06-02 01:20:00 +0000,USD,177.41,177.41,https://instagram.com/
#1083,x@y.com,paid,2026-06-02 19:45:00 +0000,USD,104.09,,https://www.google.com/
#1083,x@y.com,paid,2026-06-02 19:45:00 +0000,USD,104.09,,https://www.google.com/
#1084,x@y.com,paid,2026-06-02 08:25:00 +0000,USD,156.51,,https://l.facebook.com/
#1085,x@y.com,paid,2026-06-03 08:31:00 +0000,USD,160.73,,https://www.google.com/
#1085,x@y.com,paid,2026-06-03 08:31:00 +0000,USD,160.73,,https://www.google.com/
#1086,x@y.com,paid,2026-06-03 02:30:00 +0000,USD,198.68,,https://www.google.com/
#1087,x@y.com,paid,2026-06-03 12:33:00 +0000,USD,130.72,,https://l.facebook.com/
#1088,x@y.com,paid,2026-06-03 00:55:00 +0000,USD,181.97,,
#1088,x@y.com,paid,2026-06-03 00:55:00 +0000,USD,181.97,,
#1089,x@y.com,paid,2026-06-03 13:38:00 +0000,USD,197.49,,https://l.facebook.com/
#1090,x@y.com,paid,2026-06-03 16:08:00 +0000,USD,132.88,,https://l.facebook.com/
#1091,x@y.com,paid,2026-06-03 05:00:00 +0000,USD,146.1,,https://www.google.com/
#1092,x@y.com,paid,2026-06-03 02:22:00 +0000,USD,186.43,,
#1093,x@y.com,paid,2026-06-03 22:29:00 +0000,USD,159.16,,
#1094,x@y.com,paid,2026-06-03 09:01:00 +0000,USD,204.13,,
#1095,x@y.com,paid,2026-06-03 14:13:00 +0000,USD,133.04,,https://l.facebook.com/
#1096,x@y.com,paid,2026-06-03 09:20:00 +0000,USD,149.73,,https://l.facebook.com/
#1097,x@y.com,paid,2026-06-03 21:45:00 +0000,USD,131.52,,
#1098,x@y.com,paid,2026-06-03 12:43:00 +0000,USD,125.48,,https://l.facebook.com/
#1098,x@y.com,paid,2026-06-03 12:43:00 +0000,USD,125.48,,https://l.facebook.com/
#1099,x@y.com,paid,2026-06-03 14:00:00 +0000,USD,176.56,,https://l.facebook.com/
#1099,x@y.com,paid,2026-06-03 14:00:00 +0000,USD,176.56,,https://l.facebook.com/
#1100,x@y.com,paid,2026-06-03 03:29:00 +0000,USD,171.95,,https://l.facebook.com/
#1101,x@y.com,paid,2026-06-03 19:09:00 +0000,USD,191.0,,https://www.google.com/
#1102,x@y.com,paid,2026-06-03 10:48:00 +0000,USD,160.87,,
#1102,x@y.com,paid,2026-06-03 10:48:00 +0000,USD,160.87,,
#1103,x@y.com,paid,2026-06-03 12:46:00 +0000,USD,151.34,,https://l.facebook.com/
#1104,x@y.com,paid,2026-06-03 23:40:00 +0000,USD,121.48,,https://www.google.com/
#1105,x@y.com,paid,2026-06-03 19:06:00 +0000,USD,136.99,,https://l.facebook.com/
#1106,x@y.com,paid,2026-06-03 12:02:00 +0000,USD,167.46,,https://l.facebook.com/
#1106,x@y.com,paid,2026-06-03 12:02:00 +0000,USD,167.46,,https://l.facebook.com/
#1107,x@y.com,paid,2026-06-03 05:07:00 +0000,USD,156.24,,https://l.facebook.com/
#1107,x@y.com,paid,2026-06-03 05:07:00 +0000,USD,156.24,,https://l.facebook.com/
#1108,x@y.com,paid,2026-06-03 13:59:00 +0000,USD,131.7,,
#1109,x@y.com,paid,2026-06-03 12:30:00 +0000,USD,163.44,,
#1110,x@y.com,paid,2026-06-03 19:44:00 +0000,USD,199.61,,
#1111,x@y.com,paid,2026-06-03 19:33:00 +0000,USD,207.62,,https://www.google.com/
#1112,x@y.com,paid,2026-06-03 14:06:00 +0000,USD,112.41,,https://l.facebook.com/
#1112,x@y.com,paid,2026-06-03 14:06:00 +0000,USD,112.41,,https://l.facebook.com/
#1113,x@y.com,paid,2026-06-03 03:39:00 +0000,USD,105.04,,https://l.facebook.com/
#1114,x@y.com,paid,2026-06-03 07:22:00 +0000,USD,111.51,,https://l.facebook.com/
#1115,x@y.com,paid,2026-06-03 22:45:00 +0000,USD,153.79,,
#1116,x@y.com,refunded,2026-06-03 02:08:00 +0000,USD,152.89,152.89,https://www.google.com/
#1117,x@y.com,paid,2026-06-03 02:59:00 +0000,USD,141.08,,https://l.facebook.com/
#1118,x@y.com,paid,2026-06-03 23:08:00 +0000,USD,113.13,,https://instagram.com/
#1119,x@y.com,paid,2026-06-03 17:58:00 +0000,USD,197.34,,https://www.google.com/
#1120,x@y.com,paid,2026-06-03 10:38:00 +0000,USD,100.25,,
#1121,x@y.com,paid,2026-06-03 11:15:00 +0000,USD,94.19,,https://l.facebook.com/
#1122,x@y.com,paid,2026-06-03 02:29:00 +0000,USD,187.66,,https://www.google.com/
#1123,x@y.com,paid,2026-06-03 21:08:00 +0000,USD,131.25,,
#1124,x@y.com,paid,2026-06-04 05:12:00 +0000,USD,159.21,,
#1124,x@y.com,paid,2026-06-04 05:12:00 +0000,USD,159.21,,
#1125,x@y.com,paid,2026-06-04 18:25:00 +0000,USD,139.78,,https://instagram.com/
#1126,x@y.com,paid,2026-06-04 10:03:00 +0000,USD,122.38,,https://l.facebook.com/
#1127,x@y.com,paid,2026-06-04 15:38:00 +0000,USD,173.26,,https://instagram.com/
#1128,x@y.com,paid,2026-06-04 22:36:00 +0000,USD,140.03,,https://www.google.com/
#1128,x@y.com,paid,2026-06-04 22:36:00 +0000,USD,140.03,,https://www.google.com/
#1129,x@y.com,paid,2026-06-04 22:26:00 +0000,USD,177.23,,
#1129,x@y.com,paid,2026-06-04 22:26:00 +0000,USD,177.23,,
#1130,x@y.com,paid,2026-06-04 10:33:00 +0000,USD,93.49,,
#1130,x@y.com,paid,2026-06-04 10:33:00 +0000,USD,93.49,,
#1131,x@y.com,refunded,2026-06-04 09:46:00 +0000,USD,133.49,133.49,
#1131,x@y.com,refunded,2026-06-04 09:46:00 +0000,USD,133.49,133.49,
#1132,x@y.com,paid,2026-06-04 09:56:00 +0000,USD,174.62,,
#1133,x@y.com,paid,2026-06-04 12:03:00 +0000,USD,110.25,,https://l.facebook.com/
#1133,x@y.com,paid,2026-06-04 12:03:00 +0000,USD,110.25,,https://l.facebook.com/
#1134,x@y.com,paid,2026-06-04 09:42:00 +0000,USD,169.73,,https://l.facebook.com/
#1134,x@y.com,paid,2026-06-04 09:42:00 +0000,USD,169.73,,https://l.facebook.com/
#1135,x@y.com,paid,2026-06-04 23:55:00 +0000,USD,202.11,,
#1136,x@y.com,paid,2026-06-04 07:41:00 +0000,USD,192.38,,
#1136,x@y.com,paid,2026-06-04 07:41:00 +0000,USD,192.38,,
#1137,x@y.com,paid,2026-06-04 04:07:00 +0000,USD,152.82,,https://l.facebook.com/
#1137,x@y.com,paid,2026-06-04 04:07:00 +0000,USD,152.82,,https://l.facebook.com/
#1138,x@y.com,paid,2026-06-04 10:11:00 +0000,USD,78.08,,https://l.facebook.com/
#1139,x@y.com,paid,2026-06-04 04:22:00 +0000,USD,136.18,,https://instagram.com/
#1140,x@y.com,refunded,2026-06-04 09:20:00 +0000,USD,84.06,84.06,
#1140,x@y.com,refunded,2026-06-04 09:20:00 +0000,USD,84.06,84.06,
#1141,x@y.com,paid,2026-06-04 06:12:00 +0000,USD,96.91,,
#1142,x@y.com,paid,2026-06-04 10:53:00 +0000,USD,191.39,,https://l.facebook.com/
#1143,x@y.com,refunded,2026-06-04 22:35:00 +0000,USD,196.71,196.71,https://www.google.com/
#1144,x@y.com,paid,2026-06-04 01:41:00 +0000,USD,148.37,,
#1145,x@y.com,paid,2026-06-04 08:55:00 +0000,USD,118.4,,
#1145,x@y.com,paid,2026-06-04 08:55:00 +0000,USD,118.4,,
#1146,x@y.com,paid,2026-06-04 14:26:00 +0000,USD,172.14,,https://www.google.com/
#1147,x@y.com,paid,2026-06-04 22:12:00 +0000,USD,100.36,,https://l.facebook.com/
#1148,x@y.com,paid,2026-06-04 08:23:00 +0000,USD,101.89,,https://www.google.com/
#1149,x@y.com,paid,2026-06-04 05:42:00 +0000,USD,155.87,,https://l.facebook.com/
#1150,x@y.com,paid,2026-06-04 02:28:00 +0000,USD,114.54,,https://l.facebook.com/
#1151,x@y.com,refunded,2026-06-04 09:34:00 +0000,USD,148.07,148.07,https://www.google.com/
#1152,x@y.com,paid,2026-06-04 06:15:00 +0000,USD,133.9,,https://l.facebook.com/
#1153,x@y.com,paid,2026-06-04 04:57:00 +0000,USD,114.84,,https://l.facebook.com/
#1154,x@y.com,paid,2026-06-04 00:59:00 +0000,USD,160.09,,https://www.google.com/
#1154,x@y.com,paid,2026-06-04 00:59:00 +0000,USD,160.09,,https://www.google.com/
#1155,x@y.com,paid,2026-06-04 11:20:00 +0000,USD,85.95,,
#1155,x@y.com,paid,2026-06-04 11:20:00 +0000,USD,85.95,,
#1156,x@y.com,paid,2026-06-04 20:43:00 +0000,USD,181.36,,https://instagram.com/
#1157,x@y.com,paid,2026-06-04 13:15:00 +0000,USD,156.39,,https://l.facebook.com/
#1157,x@y.com,paid,2026-06-04 13:15:00 +0000,USD,156.39,,https://l.facebook.com/
#1158,x@y.com,paid,2026-06-04 23:15:00 +0000,USD,150.31,,https://www.google.com/
#1159,x@y.com,paid,2026-06-04 15:16:00 +0000,USD,142.56,,https://www.google.com/
#1160,x@y.com,paid,2026-06-04 14:55:00 +0000,USD,104.73,,https://l.facebook.com/
#1161,x@y.com,paid,2026-06-04 13:32:00 +0000,USD,120.91,,https://www.google.com/
#1161,x@y.com,paid,2026-06-04 13:32:00 +0000,USD,120.91,,https://www.google.com/
#1162,x@y.com,paid,2026-06-04 03:58:00 +0000,USD,173.45,,https://l.facebook.com/
#1163,x@y.com,paid,2026-06-04 07:39:00 +0000,USD,153.09,,
#1164,x@y.com,paid,2026-06-04 19:47:00 +0000,USD,85.13,,https://www.google.com/
#1165,x@y.com,paid,2026-06-04 16:10:00 +0000,USD,179.02,,https://www.google.com/
#1165,x@y.com,paid,2026-06-04 16:10:00 +0000,USD,179.02,,https://www.google.com/
#1166,x@y.com,paid,2026-06-05 19:50:00 +0000,USD,110.75,,https://www.google.com/
#1166,x@y.com,paid,2026-06-05 19:50:00 +0000,USD,110.75,,https://www.google.com/
#1167,x@y.com,paid,2026-06-05 06:45:00 +0000,USD,86.07,,https://instagram.com/
#1168,x@y.com,paid,2026-06-05 04:09:00 +0000,USD,94.95,,https://www.google.com/
#1168,x@y.com,paid,2026-06-05 04:09:00 +0000,USD,94.95,,https://www.google.com/
#1169,x@y.com,paid,2026-06-05 13:56:00 +0000,USD,146.86,,https://l.facebook.com/
#1170,x@y.com,paid,2026-06-05 02:02:00 +0000,USD,90.07,,https://instagram.com/
#1171,x@y.com,paid,2026-06-05 13:29:00 +0000,USD,117.03,,
#1172,x@y.com,paid,2026-06-05 19:13:00 +0000,USD,201.08,,https://l.facebook.com/
#1173,x@y.com,paid,2026-06-05 23:21:00 +0000,USD,99.17,,
#1174,x@y.com,paid,2026-06-05 12:24:00 +0000,USD,139.06,,
#1175,x@y.com,paid,2026-06-05 17:51:00 +0000,USD,106.43,,https://l.facebook.com/
#1176,x@y.com,paid,2026-06-05 09:30:00 +0000,USD,141.38,,https://www.google.com/
#1176,x@y.com,paid,2026-06-05 09:30:00 +0000,USD,141.38,,https://www.google.com/
#1177,x@y.com,paid,2026-06-05 15:13:00 +0000,USD,142.71,,https://l.facebook.com/
#1177,x@y.com,paid,2026-06-05 15:13:00 +0000,USD,142.71,,https://l.facebook.com/
#1178,x@y.com,refunded,2026-06-05 08:39:00 +0000,USD,133.33,133.33,https://l.facebook.com/
#1179,x@y.com,paid,2026-06-05 18:59:00 +0000,USD,146.5,,https://instagram.com/
#1180,x@y.com,paid,2026-06-05 11:08:00 +0000,USD,113.46,,https://l.facebook.com/
#1181,x@y.com,paid,2026-06-05 10:53:00 +0000,USD,173.5,,https://l.facebook.com/
#1181,x@y.com,paid,2026-06-05 10:53:00 +0000,USD,173.5,,https://l.facebook.com/
#1182,x@y.com,paid,2026-06-05 08:49:00 +0000,USD,137.39,,https://instagram.com/
#1183,x@y.com,paid,2026-06-05 06:09:00 +0000,USD,117.9,,https://instagram.com/
#1184,x@y.com,paid,2026-06-05 17:44:00 +0000,USD,82.19,,https://instagram.com/
#1185,x@y.com,paid,2026-06-05 14:42:00 +0000,USD,146.24,,https://l.facebook.com/
#1185,x@y.com,paid,2026-06-05 14:42:00 +0000,USD,146.24,,https://l.facebook.com/
#1186,x@y.com,paid,2026-06-05 22:28:00 +0000,USD,97.43,,https://l.facebook.com/
#1186,x@y.com,paid,2026-06-05 22:28:00 +0000,USD,97.43,,https://l.facebook.com/
#1187,x@y.com,paid,2026-06-05 03:18:00 +0000,USD,96.04,,https://instagram.com/
#1188,x@y.com,paid,2026-06-05 00:47:00 +0000,USD,123.53,,https://l.facebook.com/
#1188,x@y.com,paid,2026-06-05 00:47:00 +0000,USD,123.53,,https://l.facebook.com/
#1189,x@y.com,paid,2026-06-05 09:42:00 +0000,USD,152.7,,
#1190,x@y.com,paid,2026-06-05 21:07:00 +0000,USD,199.32,,https://www.google.com/
#1191,x@y.com,paid,2026-06-05 13:07:00 +0000,USD,108.97,,https://l.facebook.com/
#1191,x@y.com,paid,2026-06-05 13:07:00 +0000,USD,108.97,,https://l.facebook.com/
#1192,x@y.com,paid,2026-06-05 09:31:00 +0000,USD,143.07,,
#1193,x@y.com,paid,2026-06-05 05:22:00 +0000,USD,107.25,,https://l.facebook.com/
#1194,x@y.com,paid,2026-06-05 04:30:00 +0000,USD,146.7,,
#1195,x@y.com,paid,2026-06-05 00:57:00 +0000,USD,170.58,,https://www.google.com/
#1195,x@y.com,paid,2026-06-05 00:57:00 +0000,USD,170.58,,https://www.google.com/
#1196,x@y.com,paid,2026-06-05 08:03:00 +0000,USD,93.88,,
#1196,x@y.com,paid,2026-06-05 08:03:00 +0000,USD,93.88,,
#1197,x@y.com,paid,2026-06-05 10:56:00 +0000,USD,143.41,,https://instagram.com/
#1198,x@y.com,refunded,2026-06-05 11:36:00 +0000,USD,87.54,87.54,https://l.facebook.com/
#1199,x@y.com,paid,2026-06-05 15:24:00 +0000,USD,112.57,,https://l.facebook.com/
#1200,x@y.com,paid,2026-06-05 06:49:00 +0000,USD,204.01,,https://www.google.com/
#1201,x@y.com,paid,2026-06-05 13:04:00 +0000,USD,160.81,,https://instagram.com/
#1202,x@y.com,paid,2026-06-05 12:02:00 +0000,USD,87.02,,https://instagram.com/
#1203,x@y.com,paid,2026-06-05 15:01:00 +0000,USD,168.21,,https://instagram.com/
#1204,x@y.com,paid,2026-06-06 16:00:00 +0000,USD,113.61,,https://l.facebook.com/
#1204,x@y.com,paid,2026-06-06 16:00:00 +0000,USD,113.61,,https://l.facebook.com/
#1205,x@y.com,paid,2026-06-06 17:05:00 +0000,USD,78.46,,
#1206,x@y.com,paid,2026-06-06 22:13:00 +0000,USD,112.86,,https://l.facebook.com/
#1206,x@y.com,paid,2026-06-06 22:13:00 +0000,USD,112.86,,https://l.facebook.com/
#1207,x@y.com,paid,2026-06-06 05:21:00 +0000,USD,168.63,,
#1207,x@y.com,paid,2026-06-06 05:21:00 +0000,USD,168.63,,
#1208,x@y.com,paid,2026-06-06 11:47:00 +0000,USD,184.26,,https://instagram.com/
#1208,x@y.com,paid,2026-06-06 11:47:00 +0000,USD,184.26,,https://instagram.com/
#1209,x@y.com,paid,2026-06-06 05:58:00 +0000,USD,109.29,,https://l.facebook.com/
#1210,x@y.com,paid,2026-06-06 22:19:00 +0000,USD,193.83,,
#1211,x@y.com,paid,2026-06-06 01:10:00 +0000,USD,190.06,,https://www.google.com/
#1211,x@y.com,paid,2026-06-06 01:10:00 +0000,USD,190.06,,https://www.google.com/
#1212,x@y.com,paid,2026-06-06 16:47:00 +0000,USD,192.82,,https://l.facebook.com/
#1212,x@y.com,paid,2026-06-06 16:47:00 +0000,USD,192.82,,https://l.facebook.com/
#1213,x@y.com,paid,2026-06-06 21:20:00 +0000,USD,111.39,,https://instagram.com/
#1214,x@y.com,paid,2026-06-06 04:36:00 +0000,USD,122.07,,
#1214,x@y.com,paid,2026-06-06 04:36:00 +0000,USD,122.07,,
#1215,x@y.com,paid,2026-06-06 08:51:00 +0000,USD,162.64,,
#1216,x@y.com,paid,2026-06-06 07:41:00 +0000,USD,94.53,,https://www.google.com/
#1217,x@y.com,paid,2026-06-06 04:17:00 +0000,USD,206.54,,https://www.google.com/
#1218,x@y.com,paid,2026-06-06 21:08:00 +0000,USD,133.35,,https://instagram.com/
#1219,x@y.com,paid,2026-06-06 06:18:00 +0000,USD,98.76,,
#1220,x@y.com,paid,2026-06-06 10:57:00 +0000,USD,174.52,,https://l.facebook.com/
#1221,x@y.com,paid,2026-06-06 02:19:00 +0000,USD,187.93,,https://l.facebook.com/
#1221,x@y.com,paid,2026-06-06 02:19:00 +0000,USD,187.93,,https://l.facebook.com/
#1222,x@y.com,paid,2026-06-06 12:46:00 +0000,USD,183.66,,https://l.facebook.com/
#1222,x@y.com,paid,2026-06-06 12:46:00 +0000,USD,183.66,,https://l.facebook.com/
#1223,x@y.com,paid,2026-06-06 22:13:00 +0000,USD,179.03,,https://instagram.com/
#1224,x@y.com,paid,2026-06-06 03:35:00 +0000,USD,183.62,,https://l.facebook.com/
#1225,x@y.com,paid,2026-06-06 00:17:00 +0000,USD,194.23,,https://l.facebook.com/
#1226,x@y.com,paid,2026-06-06 02:30:00 +0000,USD,114.14,,https://l.facebook.com/
#1227,x@y.com,paid,2026-06-06 02:00:00 +0000,USD,126.29,,https://l.facebook.com/
#1228,x@y.com,refunded,2026-06-06 04:50:00 +0000,USD,166.47,166.47,https://l.facebook.com/
#1229,x@y.com,paid,2026-06-06 11:51:00 +0000,USD,208.9,,https://l.facebook.com/
#1229,x@y.com,paid,2026-06-06 11:51:00 +0000,USD,208.9,,https://l.facebook.com/
#1230,x@y.com,paid,2026-06-06 19:16:00 +0000,USD,151.57,,https://www.google.com/
#1231,x@y.com,paid,2026-06-06 14:36:00 +0000,USD,102.9,,https://l.facebook.com/
#1232,x@y.com,refunded,2026-06-06 03:43:00 +0000,USD,101.21,101.21,https://l.facebook.com/
#1233,x@y.com,refunded,2026-06-06 02:32:00 +0000,USD,113.78,113.78,https://www.google.com/
#1233,x@y.com,refunded,2026-06-06 02:32:00 +0000,USD,113.78,113.78,https://www.google.com/
#1234,x@y.com,paid,2026-06-06 00:49:00 +0000,USD,79.38,,
#1235,x@y.com,paid,2026-06-06 12:19:00 +0000,USD,184.93,,
